AtlasCourseId,CourseReference,DORSCourseIdentifier,DORSForceContractIdentifier,AtlasVenueId,VenueName,DORSSiteIdentifier,CourseStartDateAndTime,CourseEndDateAndTime,CourseType,CourseEnabled,DORSSChemeName,DORSSchemeIdentifier,Notes
5694,GH40,2666971,639,26,The Greenhouse,672,2017-11-21 08:30,2017-11-21 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Sep 26 2017 10:55AM BY: Joanne Coulter  Client Name: Mr Damian KIFF, Id: 63378 - transferred into this course from course Id: 5612  ------------------------------------  ,NOTE ADDED: Sep 26 2017 10:55AM BY: Joanne Coulter    ------------------------------------  "
5739,MB1153E,2666975,634,24,TAD Centre,152,2017-11-20 17:00,2017-11-20 21:00,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Sep 26 2017  9:32AM BY: Ellie Sumpton  Client Name: Mr John Neeson, Id: 60375 - transferred into this course from course Id: 5509  ------------------------------------  ,NOTE ADDED: Sep 26 2017  9:32AM BY: Ellie Sumpton    ------------------------------------  ,NOTE ADDED: Sep 29 2017 12:56PM BY: Temp3 Temp3  Client Name: Julie Harris, Id: 62605 - transferred into this course from course Id: 5589  ------------------------------------  ,NOTE ADDED: Sep 29 2017 12:56PM BY: Temp3 Temp3    ------------------------------------  "
5738,HP461A,2666970,634,4,Brierton Sports Centre,548,2017-11-20 13:30,2017-11-20 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5693,WDUCH37A,2666959,640,5,Chester-le-Street Cricket Club,624,2017-11-20 13:00,2017-11-20 16:15,What's Driving Us?,YES,What's Driving Us? Course,6,"NOTE ADDED: Sep 29 2017  9:19AM BY: Ellie Sumpton  Client Name: KATIE FOSTER, Id: 59001 - transferred into this course from course Id: 5648  ------------------------------------  ,NOTE ADDED: Sep 29 2017  9:19AM BY: Ellie Sumpton    ------------------------------------  "
5692,WDUCH37,2666958,640,5,Chester-le-Street Cricket Club,624,2017-11-20 09:00,2017-11-20 12:15,What's Driving Us?,YES,What's Driving Us? Course,6,NULL
5737,HP461,2666969,634,4,Brierton Sports Centre,548,2017-11-20 08:30,2017-11-20 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Oct  5 2017  2:05PM BY: Amanda Thomas  Client Name: Mr Stephen Mcconell, Id: 65467 - transferred into this course from course Id: 5725  ------------------------------------  ,NOTE ADDED: Oct  5 2017  2:05PM BY: Amanda Thomas    ------------------------------------  "
5691,DT150,2666957,639,16,Morrison Trust Darlington,626,2017-11-18 08:30,2017-11-18 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Sep 27 2017  8:42AM BY: Joanne Coulter  Client Name: Christopher Kerr, Id: 64397 - transferred into this course from course Id: 5678  ------------------------------------  ,NOTE ADDED: Sep 27 2017  8:42AM BY: Joanne Coulter    ------------------------------------  ,NOTE ADDED: Sep 29 2017  9:17AM BY: Ellie Sumpton  Client Name: Helen Watson, Id: 61155 - transferred into this course from course Id: 5617  ------------------------------------  ,NOTE ADDED: Sep 29 2017  9:17AM BY: Ellie Sumpton    ------------------------------------  ,NOTE ADDED: Oct  2 2017  8:58AM BY: Justin Goult  Client Name: Mr Kenneth Whitley, Id: 60941 - transferred into this course from course Id: 5628  ------------------------------------  ,NOTE ADDED: Oct  2 2017  8:58AM BY: Justin Goult    ------------------------------------  ,NOTE ADDED: Oct  2 2017  9:28AM BY: Sam Foster  Client Name: Mr Adam Hanlon, Id: 58787 - transferred into this course from course Id: 5673  ------------------------------------  ,NOTE ADDED: Oct  2 2017  9:28AM BY: Sam Foster    ------------------------------------  ,NOTE ADDED: Oct  2 2017 10:09AM BY: Amanda Thomas  Client Name: Mary Prudhoe, Id: 65383 - transferred into this course from course Id: 5627  ------------------------------------  ,NOTE ADDED: Oct  2 2017 10:09AM BY: Amanda Thomas    ------------------------------------  "
5736,MB1152,2666968,634,24,TAD Centre,152,2017-11-18 08:30,2017-11-18 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Sep 25 2017  8:15AM BY: Ellie Sumpton  Client Name: Mr Amir Mahmood, Id: 64427 - transferred into this course from course Id: 5573  ------------------------------------  ,NOTE ADDED: Sep 25 2017  8:15AM BY: Ellie Sumpton    ------------------------------------  ,NOTE ADDED: Sep 26 2017  8:13AM BY: Joanne Coulter  Client Name: Mr Steven Cook, Id: 64153 - transferred into this course from course Id: 5576  ------------------------------------  ,NOTE ADDED: Sep 26 2017  8:13AM BY: Joanne Coulter    ------------------------------------  ,NOTE ADDED: Sep 27 2017 11:38AM BY: Ellie Sumpton  Client Name: Ms Debbie Bourne, Id: 65353 - transferred into this course from course Id: 5724  ------------------------------------  ,NOTE ADDED: Sep 27 2017 11:38AM BY: Ellie Sumpton    ------------------------------------  ,NOTE ADDED: Sep 29 2017  9:24AM BY: Ellie Sumpton  Client Name: Ms Susan Fenwick, Id: 64103 - transferred into this course from course Id: 5577  ------------------------------------  ,NOTE ADDED: Sep 29 2017  9:24AM BY: Ellie Sumpton    ------------------------------------  ,NOTE ADDED: Oct  3 2017 10:18AM BY: Amanda Thomas  Client Name: Mrs Maria-Luisa Davison, Id: 62575 - transferred into this course from course Id: 5560  ------------------------------------  ,NOTE ADDED: Oct  3 2017 10:18AM BY: Amanda Thomas    ------------------------------------  "
5735,ST698A,2666967,634,9,Durham Tees Valley Business Centre,709,2017-11-17 13:30,2017-11-17 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5734,ST698,2666966,634,9,Durham Tees Valley Business Centre,709,2017-11-17 08:30,2017-11-17 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Oct  3 2017  8:35AM BY: LCrossman  Client Name: Ms Patrica Penn, Id: 64763 - transferred out of this course on to Course Id: 5721  ------------------------------------  ,NOTE ADDED: Oct  3 2017  8:35AM BY: LCrossman    ------------------------------------  "
